year,Ingredient_Name,QUANTITY
2006,HYDROMORPHONE HYDROCHLORIDE,947
2006,"MORPHINE SULFATE PENTAHYDRATE(I.E.,5H20)",22607
2006,OXYCODONE HYDROCHLORIDE,4287301
2007,HYDROMORPHONE HYDROCHLORIDE,355
2007,"MORPHINE SULFATE PENTAHYDRATE(I.E.,5H20)",24490
2007,OXYCODONE HYDROCHLORIDE,1127769
2008,HYDROMORPHONE HYDROCHLORIDE,7734217
2008,"MORPHINE SULFATE PENTAHYDRATE(I.E.,5H20)",49090
2008,OXYCODONE HYDROCHLORIDE,4616467
2009,HYDROMORPHONE HYDROCHLORIDE,423048
2009,"MORPHINE SULFATE PENTAHYDRATE(I.E.,5H20)",87225
2009,OXYCODONE HYDROCHLORIDE,6259393
2010,BUPRENORPHINE,11130
2010,HYDROMORPHONE HYDROCHLORIDE,272328
2010,"MORPHINE SULFATE PENTAHYDRATE(I.E.,5H20)",29978
2010,OXYCODONE HYDROCHLORIDE,14173340
2011,BUPRENORPHINE,180191
2011,HYDROMORPHONE HYDROCHLORIDE,228103
2011,"MORPHINE SULFATE PENTAHYDRATE(I.E.,5H20)",29087
2011,OXYCODONE HYDROCHLORIDE,10851295
2012,BUPRENORPHINE,226842
2012,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,5048
2012,HYDROMORPHONE HYDROCHLORIDE,300271
2012,"MORPHINE SULFATE PENTAHYDRATE(I.E.,5H20)",27241
2012,OXYCODONE HYDROCHLORIDE,9208200
2013,BUPRENORPHINE,394829
2013,HYDROMORPHONE HYDROCHLORIDE,181177
2013,"MORPHINE SULFATE PENTAHYDRATE(I.E.,5H20)",18893
2013,OXYCODONE HYDROCHLORIDE,13054673
2014,BUPRENORPHINE,348610
2014,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,4239
2014,HYDROMORPHONE HYDROCHLORIDE,86831
2014,"MORPHINE SULFATE PENTAHYDRATE(I.E.,5H20)",75160
2014,OXYCODONE HYDROCHLORIDE,8253671
