BUYER_STATE,QUANTITY,lat,lon
Alaska,2408,64.4459613,-149.680909
Alabama,20890,33.2588817,-86.8295337
Arkansas,27302,35.2048883,-92.4479108
Arizona,72222,34.395342,-111.7632755
California,256379,36.7014631,-118.7559974
Colorado,32732,38.7251776,-105.6077167
Connecticut,18482,41.6500201,-72.7342163
District of Columbia,1329,38.8936613,-76.9878833
Delaware,2368,38.6920451,-75.4013315
Florida,2672383,27.7567667,-81.4639835
Georgia,2164553,33.247875,-83.441162
Hawaii,11714,21.2160437,-157.975203
Iowa,6625,41.9216734,-93.3122705
Idaho,4551,43.6447642,-114.0154071
Illinois,59628,40.0796606,-89.4337288
Indiana,21533,40.3270127,-86.1746933
Kansas,7182,38.27312,-98.5821872
Kentucky,155722,37.5726028,-85.1551411
Louisiana,31213,30.8703881,-92.007126
Massachusetts,57968,42.3788774,-72.032366
Maryland,22788,39.5162234,-76.9382069
Maine,4728,45.709097,-68.8590201
Michigan,44140,43.6211955,-84.6824346
Minnesota,15984,45.9896587,-94.6113288
Missouri,45953,38.7604815,-92.5617875
Mississippi,26538,32.9715645,-89.7348497
Montana,4398,47.3752671,-109.6387579
North Carolina,4398926,35.6729639,-79.0392919
North Dakota,1814,47.6201461,-100.540737
Nebraska,5101,41.7370229,-99.5873816
New Hampshire,6062,43.4849133,-71.6553992
New Jersey,398669,40.0757384,-74.4041622
New Mexico,6733,34.5708167,-105.993007
Nevada,15378,39.5158825,-116.8537227
New York,770987,42.7127281,-75.0090152
Ohio,57330,40.2253569,-82.6881395
Oklahoma,31343,34.9550817,-97.2684063
Oregon,29455,43.9792797,-120.737257
Pennsylvania,54795,40.9699889,-77.7278831
Rhode Island,4696,41.7962409,-71.5992372
South Carolina,20910,33.6874388,-80.4363743
South Dakota,1482,44.6471761,-100.348761
Tennessee,66999,35.7730076,-86.2820081
Texas,105661,31.8160381,-99.5120986
Utah,14997,39.4225192,-111.7143584
Virginia,41610,38.1232245,-77.4927721
Vermont,3141,44.5990718,-72.5002608
Washington,59245,47.7510765,-120.740135
Wisconsin,22185,44.4308975,-89.6884637
West Virginia,26851,38.4758406,-80.8408415
Wyoming,2394,43.1700264,-107.5685348
