date,BUPRENORPHINE,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,HYDROMORPHONE HYDROCHLORIDE,"MORPHINE SULFATE PENTAHYDRATE(I.E.,5H20)",OXYCODONE HYDROCHLORIDE,OXYMORPHONE HYDROCHLORIDE
2009-12,0,0.0,3546.4,0.0,0.0,0.0
2010-1,0,0.0,21278.4,0.0,0.0,0.0
2010-10,0,0.0,9998074.71519999,0.0,0.0,0.0
2010-11,0,0.0,13823172.1056,0.0,0.0,0.0
2010-12,0,0.0,8195049.491200015,0.0,3563.5875,0.0
2010-2,0,0.0,1148324.320000001,0.0,0.0,0.0
2010-3,0,0.0,1367491.8400000038,0.0,0.0,0.0
2010-4,0,0.0,1633471.8400000036,0.0,0.0,0.0
2010-5,0,0.0,1835616.640000005,0.0,0.0,0.0
2010-6,0,0.0,4682666.560000002,0.0,0.0,0.0
2010-7,0,15135.0,19063318.560000014,0.0,0.0,0.0
2010-8,0,0.0,82601330.24000044,0.0,0.0,0.0
2010-9,0,0.0,6401961.28000002,0.0,0.0,0.0
2011-1,0,0.0,7126143.252800023,75486888.0,0.0,0.0
2011-10,0,60540.0,16360876.64639994,95131265.936,0.0,0.0
2011-11,0,0.0,19648701.52959988,122436056.56000002,0.0,0.0
2011-12,2318760,8847.921,36543382.30399989,222463866.71999997,0.0,0.0
2011-2,0,0.0,8788766.500799999,173107768.0,0.0,0.0
2011-3,0,0.0,19454259.510399897,246729320.0,0.0,0.0
2011-4,0,0.0,19681278.759999987,92757068.08,0.0,0.0
2011-5,0,17208.495000000003,31234659.11279992,90950448.24,0.0,0.0
2011-6,0,302.7000000000001,19905248.105599903,80892256.47999999,0.0,0.0
2011-7,0,1032022.353,30214639.998399917,128226322.328,0.0,0.0
2011-8,0,0.0,24762170.575999938,83270245.92,0.0,0.0
2011-9,0,0.0,26122924.965279862,133918266.72799999,0.0,0.0
2012-1,0,0.0,42594337.93472007,140386536.82400003,0.0,0.0
2012-10,0,24216.0,24512104.69135987,214552887.63200003,0.0,0.0
2012-11,72000,0.0,14701363.591199944,83969301.73600003,0.0,0.0
2012-12,0,0.0,52470161.85840009,280959051.5200001,20171.25,0.0
2012-2,0,0.0,41813559.67359999,68317086.88,0.0,0.0
2012-3,862320,0.0,37654951.73440007,92226024.48000002,0.0,0.0
2012-4,0,0.0,27953036.88319983,161109093.63200003,0.0,0.0
2012-5,0,0.0,61768230.40960016,317342113.608,0.0,0.0
2012-6,0,0.0,49431460.93599995,168831112.416,0.0,0.0
2012-7,1443840,0.0,68875560.01040018,173458404.168,0.0,0.0
2012-8,0,0.0,33115119.980799884,350808538.80799997,537900.0,0.0
2012-9,0,0.0,33679363.569279894,480804449.86399996,2017.125,0.0
2013-1,0,0.0,45977675.17200032,172483720.8000002,377827.68375,0.0
2013-10,0,0.0,105252067.88096268,139146799.4000001,17481.75,0.0
2013-11,63000,0.0,129164413.44046779,249471004.84000003,0.0,0.0
2013-12,0,0.0,38845361.892480016,209317439.56800002,0.0,0.0
2013-2,0,143479.80000000002,70862000.07744081,320040799.84,0.0,0.0
2013-3,842400,0.0,40716467.35728007,139347013.0080001,0.0,0.0
2013-4,0,0.0,62317326.614400506,290060084.144,584.9662500000001,0.0
2013-5,216000,1443.879,79107651.73168132,374286058.1440002,0.0,0.0
2013-6,0,0.0,74974377.14624141,280226062.0800004,2521386.0787500003,0.0
2013-7,0,8731.3815,55865567.49488062,199393337.68000007,866536.72875,0.0
2013-8,0,0.0,48054661.2145601,278977120.9280002,1748.1750000000002,0.0
2013-9,0,21491.7,48948584.495096266,339654994.752,0.0,0.0
2014-1,3600,0.0,36120618.08783996,123063104.24000007,0.0,0.0
2014-10,0,63854.565,51241115.33558026,282612645.37600005,31683009.27,0.0
2014-11,0,45.405,30731396.049643848,150534453.84000006,36496515.0,0.0
2014-12,61200,1362.15,43188547.64211999,147913470.264,50999307.5625,214.104
2014-2,0,0.0,32929458.649399854,249420156.10400006,0.0,0.0
2014-3,0,0.0,36222998.75479996,307806431.3760001,0.0,0.0
2014-4,0,0.0,44492912.15775215,214608745.8160002,0.0,0.0
2014-5,0,0.0,85319282.29853843,320718130.376,0.0,0.0
2014-6,0,14997.2715,58258507.75007236,198753645.49600005,0.0,0.0
2014-7,0,800641.5,40622596.36577997,538746668.7599999,0.0,0.0
2014-8,0,0.0,29194990.397603843,137652334.00800005,136666.9425,0.0
2014-9,0,0.0,37408703.59546406,253885793.8000001,710700.375,0.0
